image_path,title,price
data/headphones1.jpg,Sennheiser HD 450BT,286.41
data/book2.jpg,Deep Work,23.07
data/headphones3.jpg,Sennheiser HD 450BT,164.05
data/watch4.jpg,Apple Watch Series 7,278.85
data/headphones5.jpg,Sennheiser HD 450BT,176.61
data/laptop6.jpg,ASUS Vivobook,1052.27
data/backpack7.jpg,Leather Rucksack,110.59
data/handbag8.jpg,Canvas tote,25.77
data/book9.jpg,The Alchemist,18.25
data/handbag10.jpg,Mini clutch purse,49.84
data/sneakers11.jpg,Adidas Ultraboost,42.37
data/book12.jpg,Deep Work,46.1
data/headphones13.jpg,Sennheiser HD 450BT,119.88
data/backpack14.jpg,Anti-theft Travel Bag,43.77
data/book15.jpg,Think and Grow Rich,39.47
data/handbag16.jpg,Luxury crossbody bag,60.09
data/backpack17.jpg,Travel Hiking Backpack,62.36
data/laptop18.jpg,ASUS Vivobook,790.84
data/watch19.jpg,Garmin Forerunner,97.39
data/laptop20.jpg,Dell Inspiron 15,1272.34
data/headphones21.jpg,Bose QuietComfort,249.52
data/book22.jpg,Think and Grow Rich,18.33
data/backpack23.jpg,Anti-theft Travel Bag,66.23
data/backpack24.jpg,Leather Rucksack,113.53
data/laptop25.jpg,Dell Inspiron 15,777.98
data/book26.jpg,Clean Code,29.94
data/phone27.jpg,OnePlus Nord,873.49
data/laptop28.jpg,MacBook Pro 14,626.7
data/laptop29.jpg,MacBook Pro 14,474.69
data/watch30.jpg,Apple Watch Series 7,326.75
data/book31.jpg,The Alchemist,14.48
data/headphones32.jpg,Sony WH-1000XM4,115.32
data/handbag33.jpg,Luxury crossbody bag,66.81
data/sneakers34.jpg,Adidas Ultraboost,158.73
data/handbag35.jpg,Fashion sling bag,67.78
data/handbag36.jpg,Luxury crossbody bag,59.01
data/handbag37.jpg,Mini clutch purse,44.14
data/watch38.jpg,Samsung Galaxy Watch,81.27
data/phone39.jpg,iPhone 13 Pro,922.08
data/handbag40.jpg,Mini clutch purse,35.19
data/headphones41.jpg,JBL Tune,277.64
data/watch42.jpg,Casio G-Shock,253.99
data/backpack43.jpg,School Laptop Backpack,70.52
data/sneakers44.jpg,Reebok Classic,183.25
data/headphones45.jpg,Sennheiser HD 450BT,144.38
data/laptop46.jpg,MacBook Pro 14,1023.94
data/phone47.jpg,Samsung Galaxy A12,163.8
data/backpack48.jpg,Canvas Daypack,62.6
data/headphones49.jpg,Sennheiser HD 450BT,190.34
data/laptop50.jpg,ASUS Vivobook,1219.97
data/laptop51.jpg,Lenovo Yoga Slim,502.65
data/backpack52.jpg,Anti-theft Travel Bag,113.91
data/watch53.jpg,Casio G-Shock,158.71
data/handbag54.jpg,Leather shoulder bag,20.85
data/watch55.jpg,Apple Watch Series 7,312.77
data/headphones56.jpg,Sennheiser HD 450BT,87.97
data/handbag57.jpg,Fashion sling bag,22.16
data/watch58.jpg,Garmin Forerunner,450.46
data/phone59.jpg,Xiaomi Redmi Note,742.87
data/laptop60.jpg,Lenovo Yoga Slim,1330.02
data/watch61.jpg,Apple Watch Series 7,374.14
data/phone62.jpg,iPhone 13 Pro,737.0
data/handbag63.jpg,Mini clutch purse,68.68
data/book64.jpg,Think and Grow Rich,27.63
data/backpack65.jpg,Leather Rucksack,110.72
data/watch66.jpg,Samsung Galaxy Watch,403.94
data/book67.jpg,Think and Grow Rich,17.33
data/handbag68.jpg,Canvas tote,23.36
data/backpack69.jpg,Travel Hiking Backpack,104.07
data/sneakers70.jpg,New Balance 574,125.93
data/book71.jpg,Think and Grow Rich,43.65
data/book72.jpg,Deep Work,26.36
data/sneakers73.jpg,Nike Air Max,85.11
data/backpack74.jpg,School Laptop Backpack,107.08
data/sneakers75.jpg,Reebok Classic,138.65
data/laptop76.jpg,Lenovo Yoga Slim,1096.98
data/sneakers77.jpg,Nike Air Max,134.2
data/sneakers78.jpg,Adidas Ultraboost,142.31
data/laptop79.jpg,Dell Inspiron 15,526.64
data/watch80.jpg,Apple Watch Series 7,193.92
data/backpack81.jpg,Leather Rucksack,37.75
data/headphones82.jpg,Anker Soundcore,73.43
data/sneakers83.jpg,Nike Air Max,114.47
data/backpack84.jpg,School Laptop Backpack,95.07
data/sneakers85.jpg,New Balance 574,86.87
data/headphones86.jpg,JBL Tune,103.05
data/handbag87.jpg,Mini clutch purse,66.04
data/sneakers88.jpg,Reebok Classic,134.21
data/phone89.jpg,Xiaomi Redmi Note,244.92
data/handbag90.jpg,Luxury crossbody bag,76.76
data/book91.jpg,Clean Code,49.81
data/sneakers92.jpg,Reebok Classic,51.69
data/phone93.jpg,Xiaomi Redmi Note,556.4
data/book94.jpg,Atomic Habits,48.72
data/book95.jpg,The Alchemist,16.39
data/backpack96.jpg,Canvas Daypack,30.96
data/watch97.jpg,Casio G-Shock,437.08
data/headphones98.jpg,Sony WH-1000XM4,192.66
data/backpack99.jpg,Anti-theft Travel Bag,117.71
data/laptop100.jpg,ASUS Vivobook,576.32
data/phone101.jpg,Xiaomi Redmi Note,739.39
data/backpack102.jpg,Anti-theft Travel Bag,41.52
data/watch103.jpg,Casio G-Shock,390.8
data/phone104.jpg,Xiaomi Redmi Note,796.62
data/watch105.jpg,Garmin Forerunner,95.15
data/laptop106.jpg,HP Pavilion,1010.25
data/backpack107.jpg,Leather Rucksack,90.58
data/backpack108.jpg,Anti-theft Travel Bag,106.33
data/laptop109.jpg,ASUS Vivobook,533.08
data/backpack110.jpg,Travel Hiking Backpack,86.18
data/headphones111.jpg,Bose QuietComfort,119.08
data/laptop112.jpg,MacBook Pro 14,599.45
data/book113.jpg,The Alchemist,30.0
data/sneakers114.jpg,Puma Running Shoes,58.98
data/backpack115.jpg,School Laptop Backpack,53.92
data/watch116.jpg,Fossil Chronograph,387.16
data/laptop117.jpg,HP Pavilion,630.72
data/sneakers118.jpg,Adidas Ultraboost,183.89
